Fac Building Key,Building Number,Parent Building Number,Parent Building Name,Parent Building Name Long,Building Name Long,Ext Gross Area,Assignable Area,Non Assignable Area,Site,Campus Sector,Access Level Code,Access Level Name,Building Type,Ownership Type,Building Use,Occupancy Class,Building Height,Cost Center Code,Cost Collector Key,Latitude Wgs,Longitude Wgs,Easting X Spcs,Northing Y Spcs,Building Sort,Building Named For,Building Name,Date Built,Date Acquired,Date Occupied,Warehouse Load Date,Num Of Rooms
OC19C,OC19C,"","","",BATES LINAC: North Experimental Hall,"6,081.18","5,375.22",11.05,BATES,OFFCAMPUS,1.00,1,ACADEMIC,OWNED,AER,(NULL),"",1876000,1876000,42.59839,-70.98029,"796,100.29527","3,043,518.70983",OC19C,-,BATES LINAC: NORTH EXPERIMENTAL HALL,"","","",01/08/16 05:13 AM,4
OC19G,OC19G,"","","",BATES LINAC: North Hall Exhaust,454.61,372.3,13.64,BATES,OFFCAMPUS,1.00,1,ACADEMIC,OWNED,AER,(NULL),"",1876000,1876000,42.59805,-70.98273,"795,443.12177","3,043,391.05789",OC19G,-,BATES LINAC: NORTH HALL EXHAUST,"","","",01/08/16 05:13 AM,2
OC19Q,OC19Q,"","","",BATES LINAC: Water Tower,241.54,188.14,2.51,BATES,OFFCAMPUS,1.00,1,ACADEMIC,OWNED,AER,(NULL),"",1876000,1876000,"","","","",OC19Q,-,BATES LINAC: WATER TOWER,"","","",01/08/16 05:13 AM,3
OC1A,OC1A,"","","",Edward Pennell Brooks Center,"15,136.28","9,683.6","3,351.5",END,OFFCAMPUS,1.00,1,ACADEMIC,OWNED,OTH,UGR1A3,"","","",42.25434,-71.19439,"738,903.0968","2,917,857.95057",OC01A,EDWARD PENNELL BROOKS,EDWARD PENNELL BROOKS CENTER,12/31/1982,"",12/31/1983,01/08/16 05:13 AM,115
OC21,OC21,"","","",Wallace Astrophysical Observatory,"3,109.94","2,815.19",0,HAY,OFFCAMPUS,1.00,1,ACADEMIC,OWNED,AER,UGBR3,"","","",42.61043,-71.48397,"660,483.31698","3,047,480.88144",OC21,GEORGE R. WALLACE JR.,WALLACE ASTROPHYSICAL OBSERVATORY,"","",10/14/1971,01/08/16 05:13 AM,16
OC33,OC33,"","","",Annex 3,"12,421.75","8,671.97","2,463.49",LINC,OFFCAMPUS,1.00,1,ACADEMIC,OWNED,OTH,(NULL),"","","","","","","",OC33,-,ANNEX 3,"","","",01/08/16 05:13 AM,37
W33,W33,"","","",Rockwell Athletic Cage,"34,427.72","32,379.24",594.57,MIT,WEST,2.00,2,SERVICE,OWNED,STAC,UGA3,22.80,1833300,1833300,42.3592,-71.09597,"765,365.72624","2,956,180.88855",W33,JOHN ARNOLD ROCKWELL M.D.,ROCKWELL CAGE,07/01/1947,"",06/01/1948,01/08/16 05:13 AM,7
W34,W34,"","","",Johnson Athletics Center,"109,397.67","82,318.33","20,654.76",MIT,WEST,2.00,2,SERVICE,OWNED,STAC,UGA3,37.90,1833400,1833400,42.3586,-71.09653,"765,215.96003","2,955,959.32414",W34,HOWARD WESLEY JOHNSON,JOHNSON ATHLETICS CENTER,07/01/1979,"",10/01/1980,01/08/16 05:13 AM,73
W53D,W53D,"","","",J B Carr Indoor Tennis Facility(Svc),142.94,112.5,0,MIT,WEST,2.00,2,SERVICE,OWNED,STAC,UGB,"","","","","","","",W53D,-,CARR INDOOR TENNIS FACILITY(SVC),"","","",01/08/16 05:13 AM,1
W70,W70,"","","",New West Campus Houses,"114,713.44","68,572.31","32,718.09",MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,46.90,1347500,1347500,42.35516,-71.10053,"764,140.06982","2,954,702.58429",W70,-,NEW HOUSE,06/01/1974,"",12/31/1976,01/08/16 05:13 AM,13
W70D,W70D,W70,NEW HOUSE,New West Campus Houses,New West Campus Houses (Wing D),"16,559.95","10,291.38","4,232.84",MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,"","","","","","","",W70D,-,NEW HOUSE (D),"","","",01/08/16 05:13 AM,98
W85G,W85G,W85FG,WESTGATE (FG),Westgate FG,Westgate G Married Student Housing,"4,653.21","3,704.69",449.76,MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,(NULL),"","","","","","","",W85G,-,WESTGATE (G),"","","",01/08/16 05:13 AM,10
11,11,"","","",Homberg Building,"26,705.26","18,689.54","4,780.91",MIT,MAIN GROUP,2.00,2,ACADEMIC,OWNED,AER,UGB,72.50,1811100,1811100,42.35952,-71.09277,"766,229.8478","2,956,301.70881",11,RICHARD MEYER HOMBERG,HOMBERG BUILDING,06/01/1927,"",12/31/1928,01/08/16 05:13 AM,189
6C,6C,"","","",PDSI,"51,146.78","16,257.6","27,693.04",MIT,MAIN GROUP,2.00,2,ACADEMIC,OWNED,AER,UGE,92.00,1810600,1810600,42.35967,-71.09084,"766,752.96513","2,956,359.21569",06C,-,BUILDING 6C,05/01/2007,"",05/01/2007,01/08/16 05:13 AM,118
8,8,"","","",Building 8,"65,896.06","37,251.65","20,781.15",MIT,MAIN GROUP,2.00,2,ACADEMIC,OWNED,AER,UGBA3,64.00,1810800,1810800,42.35999,-71.09086,"766,744.90512","2,956,475.739",08,-,BUILDING 8,07/01/1913,"",12/31/1916,01/08/16 05:13 AM,261
14,14,"","","",Charles Hayden Memorial Library,"154,515.73","103,712.5","38,432.75",MIT,MAIN GROUP,2.00,2,ACADEMIC,OWNED,AER,UGA3,70.40,1811400,1811400,42.35918,-71.0893,"767,167.92839","2,956,182.51961",14,CHARLES HAYDEN,HAYDEN MEMORIAL LIBRARY,04/05/1948,"",12/31/1951,01/08/16 05:13 AM,94
17,17,"","","",Wright Brothers Wind Tunnel,"6,074.7","5,585.84",263.41,MIT,MAIN GROUP,2.00,2,ACADEMIC,OWNED,AER,UGB,22.00,1811700,1811700,42.36011,-71.09349,"766,034.06508","2,956,516.14697",17,WILBUR & ORVILLE WRIGHT,WRIGHT BROTHERS WIND TUNNEL,12/01/1937,"",01/01/1939,01/08/16 05:13 AM,14
26,26,"","","",Karl Taylor Compton Laboratories,"133,545.12","80,689.29","42,174.51",MIT,MAIN GROUP,2.00,2,ACADEMIC,OWNED,AER,UGBA3,78.70,1812600,1812600,42.36086,-71.09115,"766,665.28283","2,956,790.64724",26,KARL TAYLOR COMPTON,COMPTON LABORATORIES,06/01/1955,"",02/01/1957,01/08/16 05:13 AM,383
42T,42T,42,COGENERATION PLANT,William R. Dickson Cogeneration Plant,Building 42 Tunnel,"11,247.27",0,"11,247.27",MIT,"",0.00,0,SERVICE,OWNED,OTH,UGF1,0.00,1814200,1814200,"","","","",42T,-,BUILDING 42 TUNNEL,12/31/1915,"",12/31/1916,01/08/16 05:13 AM,1
64B,64B,64,EAST CAMPUS: WALCOTT BEMIS GOODALE,Alumni Houses: Walcott Bemis Goodale,Alumni Houses: Bemis,"23,656.67","14,584.37","6,483.26",MIT,MAIN GROUP,2.00,2,RESIDENT,OWNED,DHOA,(NULL),"","","","","","","",64B,ALBERT F. BEMIS,EAST CAMPUS: BEMIS,"","","",01/08/16 05:13 AM,114
66,66,"","","",Ralph Landau Building,"133,709.64","71,189.32","46,871.43",MIT,MAIN GROUP,2.00,2,ACADEMIC,OWNED,AER,UGBA3,74.30,1816600,1816600,42.36092,-71.08903,"767,239.13493","2,956,816.07395",66,RALPH LANDAU,LANDAU BUILDING,08/01/1973,"",12/31/1976,01/08/16 05:13 AM,323
6B,6B,"","","",Solvent Storage,"1,680.39",643.66,874.79,MIT,MAIN GROUP,0.00,0,SERVICE,OWNED,AER,UGHH,11.70,1810600,1810600,42.35941,-71.09067,"766,797.02686","2,956,263.93869",06B,-,SOLVENT STORAGE,12/31/1920,"",12/31/1921,01/08/16 05:13 AM,4
76,76,"","","",David H. Koch Institute For Integrative Cancer Research,"367,688.6","201,064.99","124,244.34",MIT,MAIN GROUP,2.00,2,ACADEMIC,OWNED,AER,(NULL),0.00,1810700,1810700,42.3623,-71.08928,"767,170.13363","2,957,317.073",76,-,D H KOCH IN FICR,"","","",01/08/16 05:13 AM,925
E19,E19,"","","",Horace Sayford Ford Building (E19),"149,742.43","100,796.84","37,569.45",MIT,EAST,2.00,2,SERVICE,OWNED,AER,UGB,81.00,1821900,1821900,42.36213,-71.08795,"767,528.03043","2,957,258.01826",E19,HORACE SAYFORD FORD JR.,FORD BUILDING (E19),12/31/1920,05/01/1961,10/01/1964,01/08/16 05:13 AM,719
N16,N16,"","","",Cooling Tower & Oil Reserve,"31,334.45",0,"25,029.45",MIT,NORTH,0.00,0,SERVICE,OWNED,OTH,UGU,59.00,"","",42.36127,-71.09407,"765,877.28985","2,956,935.81263",N16,-,COOLING TOWER & OIL RESERVE,09/20/1971,"",12/31/1972,01/08/16 05:13 AM,26
N4,N4,"","","",Albany Street Parking Garage,"143,032.14","129,868.34","5,780.48",MIT,NORTH,2.00,2,SERVICE,OWNED,GAR,UGS2,56.30,1850400,1850400,42.36203,-71.09278,"766,223.39595","2,957,217.22357",N04,-,ALBANY GARAGE,12/31/1966,"",10/01/1966,01/08/16 05:13 AM,36
NE123A,NE123A,"","","",300 Bent Street,"1,812.03",439.51,0,MIT,NORTHEAST,2.00,2,SERVICE,LEASED,OTH,(NULL),0.00,"","",42.36736,-71.08675,922.3372,922.3372,NE123A,-,300 BENT STREET,03/21/2014,"","",01/08/16 05:13 AM,5
NW12,NW12,"","","",Nuclear Reactor Laboratory,"49,933.39","34,857.85","9,710.88",MIT,NORTHWEST,0.00,0,ACADEMIC,OWNED,AER,UGB,47.30,1841200,1841200,42.3601,-71.09686,"765,123.30905","2,956,508.19996",NW12,-,NUCLEAR REACTOR LAB,12/31/1937,12/31/1955,12/31/1955,01/08/16 05:13 AM,166
W16,W16,"","","",Kresge Auditorium,"42,145.98","20,461.58","17,716.79",MIT,WEST,2.00,2,SERVICE,OWNED,STAC,UGA1A3,50.20,1831600,1831600,42.35813,-71.09506,"765,614.61178","2,955,792.88808",W16,SEBASTIAN S. KRESGE,KRESGE AUDITORIUM,05/01/1953,"",12/31/1956,01/08/16 05:13 AM,94
NW86P,NW86P,"","","",70 Pacific Street Dormitory Garage,"52,869.94","42,666.46","6,075.51",MIT,NORTHWEST,2.00,2,SERVICE,OWNED,GAR,UGS2,"","","","","","","",NW86P,-,70 PACIFIC STREET DORMITORY GARAGE,02/01/2001,"",08/01/2002,01/08/16 05:13 AM,32
OC11,OC11,"","","",1 Summer Street,"8,789.53","6,630.71",0,BOS,OFFCAMPUS,1.00,1,SERVICE,LEASED,AER,(NULL),"",1897100,1897100,"","","","",OC11,-,1 SUMMER STREET BOSTON MA,"","",01/01/2008,01/08/16 05:13 AM,2
OC19A,OC19A,"","","",Bates LINAC: Administration Bldg,"6,766.98","5,452.11",715.94,BATES,OFFCAMPUS,1.00,1,ACADEMIC,OWNED,AER,(NULL),"",1876000,1876000,42.59904,-70.98094,"795,922.70284","3,043,751.42551",OC19A,-,BATES LINAC: ADMINISTRATION BLDG,"","","",01/08/16 05:13 AM,34
OC19F,OC19F,"","","",BATES LINAC: South Experimental Hall,"58,104.54","31,838.33","7,768.58",BATES,OFFCAMPUS,1.00,1,ACADEMIC,OWNED,AER,(NULL),"",1876000,1876000,42.59834,-70.9815,"795,775.03719","3,043,495.98697",OC19F,-,BATES LINAC: SOUTH EXPERIMENTAL HALL,"","","",01/08/16 05:13 AM,48
OC19M,OC19M,"","","",BATES LINAC: Barn,"2,225.34","2,062.22",0,BATES,OFFCAMPUS,1.00,1,ACADEMIC,OWNED,AER,(NULL),"",1876000,1876000,"","","","",OC19M,-,BATES LINAC: BARN,"","","",01/08/16 05:13 AM,3
OC32A,OC32A,"","","",Balloon House A,"1,585.32",0,"1,180.83",LINC,OFFCAMPUS,1.00,1,SERVICE,OWNED,OTH,(NULL),"","","","","","","",OC32A,-,BALLOON HOUSE A,"","","",01/08/16 05:13 AM,4
W4,W4,"","","",Stanley McCormick Hall,"128,989.56","66,832.71","43,402.05",MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,89.20,1346800,1346800,42.35718,-71.09442,"765,787.85673","2,955,447.20288",W04,STANLEY MCCORMICK,MCCORMICK HALL,03/01/1962,"",09/01/1963,01/08/16 05:13 AM,562
W53,W53,"","","",J B Carr Indoor Tennis Facility,"25,692.9","24,982.22",0,MIT,WEST,2.00,2,SERVICE,OWNED,STAC,UGB,39.00,"","",42.35692,-71.0978,"764,874.46958","2,955,348.20624",W53,JASPER B. CARR,CARR INDOOR TENNIS FACILITY,04/01/1971,"",12/31/1971,01/08/16 05:13 AM,1
W71,W71,"","","",Next House,"132,006.46","82,568.84","34,134.47",MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,57.50,1347700,1347700,42.3547,-71.10192,"763,765.44724","2,954,534.53087",W71,-,NEXT HOUSE,10/01/1979,"",08/24/1981,01/08/16 05:13 AM,507
W85C,W85C,W85ABC,WESTGATE (ABC),Westgate ABC,Westgate C Married Student Housing,"4,661.33","3,701.95",454.98,MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,(NULL),"","","","","","","",W85C,-,WESTGATE (C),"","","",01/08/16 05:13 AM,10
W85F,W85F,W85FG,WESTGATE (FG),Westgate FG,Westgate F Married Student Housing,"4,667.7","3,713.09",454.55,MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,(NULL),"","","","","","","",W85F,-,WESTGATE (F),"","","",01/08/16 05:13 AM,10
62,62,"","","",Alumni Houses: Munroe Hayden Wood,"77,154","50,572.78","18,936.55",MIT,MAIN GROUP,2.00,2,RESIDENT,OWNED,DHOA,UGR2,51.50,1346200,1346200,42.36023,-71.08868,"767,333.95523","2,956,564.72789",62,"JAMES P. MUNROE, HENRY R. HAYDEN, KENNETH F. WOOD",ALUMNI HOUSES: MUNROE HAYDEN WOOD,03/01/1930,"",09/01/1931,01/08/16 05:13 AM,0
7A,7A,"","","",Rotch Library Extension,"18,501.98","14,974.7","2,388.47",MIT,MAIN GROUP,2.00,2,ACADEMIC,OWNED,AER,UGA3,77.00,1810700,1810700,42.3595,-71.09319,"766,116.10803","2,956,291.65972",07A,-,ROTCH LIBRARY EXTENSION,12/31/1989,"",07/11/1990,01/08/16 05:13 AM,75
14N,14N,14,HAYDEN MEMORIAL LIBRARY,Charles Hayden Memorial Library,Charles Hayden Memorial Library (North Wing),"37,006.11","20,980.09","11,550.51",MIT,MAIN GROUP,2.00,2,ACADEMIC,OWNED,AER,(NULL),"","","","","","","",14N,CHARLES HAYDEN,HAYDEN MEMORIAL LIBRARY (N),05/21/2015,"","",01/08/16 05:13 AM,188
32,32,"","","",Ray and Maria Stata Center,"463,662","286,126.22","121,288.13",MIT,MAIN GROUP,2.00,2,ACADEMIC,OWNED,AER,(NULL),140.00,1813200,1813200,42.3616,-71.09057,"766,821.93193","2,957,060.62685",32,RAY STATA '57,STATA CENTER,"","",03/19/2004,01/08/16 05:13 AM,"1,329"
43,43,"","","",Power Plant Annex,"10,373.95","5,443.11","4,097.66",MIT,MAIN GROUP,0.00,0,SERVICE,OWNED,OTH,UGF1,30.50,"","",42.36114,-71.09321,"766,108.42288","2,956,892.56905",43,-,POWER PLANT ANNEX,12/31/1914,"",08/01/1916,01/08/16 05:13 AM,35
44,44,"","","",Cyclotron,"16,118.61","11,616.3","2,717.2",MIT,MAIN GROUP,2.00,2,ACADEMIC,OWNED,AER,UGB,29.50,1814400,1814400,42.36161,-71.09247,"766,307.82009","2,957,061.83281",44,-,CYCLOTRON,12/31/1938,"",12/31/1939,01/08/16 05:13 AM,50
54,54,"","","",Cecil And Ida Green Building,"129,397.16","69,136.19","43,636.05",MIT,MAIN GROUP,2.00,2,ACADEMIC,OWNED,AER,UGBA3,275.00,1815400,1815400,42.36032,-71.08933,"767,159.9448","2,956,598.38283",54,CECIL HOWARD & IDA FLANSBURGH GREEN,GREEN BUILDING,01/01/1962,"",07/01/1964,01/08/16 05:13 AM,616
64W,64W,64,EAST CAMPUS: WALCOTT BEMIS GOODALE,Alumni Houses: Walcott Bemis Goodale,Alumni Houses: Walcott,"24,988.56","16,833.91","5,711.41",MIT,MAIN GROUP,2.00,2,RESIDENT,OWNED,DHOA,(NULL),"","","","","","","",64W,WILLIAM W. WALCOTT,EAST CAMPUS: WALCOTT,"","","",01/08/16 05:13 AM,123
62M,62M,62,ALUMNI HOUSES: MUNROE HAYDEN WOOD,Alumni Houses: Munroe Hayden Wood,Alumni Houses: Munroe,"25,568.41","18,125.96","4,960.76",MIT,MAIN GROUP,2.00,2,RESIDENT,OWNED,DHOA,(NULL),"","","","","","","",62M,JAMES P. MUNROE,ALUMNI HOUSES: MUNROE,"","","",01/08/16 05:13 AM,102
E23,E23,"","","",Health Services,"101,813.25","65,273.27","23,848.53",MIT,EAST,2.00,2,SERVICE,OWNED,AER,UGBI2,71.10,1822300,1822300,42.36102,-71.08663,"767,886.80827","2,956,856.36291",E23,-,HEALTH SERVICES,08/21/1979,"",02/15/1982,01/08/16 05:13 AM,621
E14,E14,"","","",Building E14,"173,875.21","74,368.15","83,282.61",MIT,EAST,2.00,2,ACADEMIC,OWNED,AER,(NULL),"",1821400,1821400,42.36046,-71.08733,"767,698.51797","2,956,651.90718",E14,-,BUILDING E14,"","","",01/08/16 05:13 AM,345
NE83,NE83,"","","",Building 300,"20,795.59","17,407.77",873.91,MIT,"",2.00,2,ACADEMIC,LEASED,AER,UGB,0.00,"","","","","","",NE83,-,BUILDING 300,06/25/2014,"",06/25/2014,01/08/16 05:13 AM,77
N16B,N16B,"","","",Fire Pump House,"1,249.72",0,"1,160.58",MIT,NORTH,0.00,0,SERVICE,OWNED,OTH,UGU,"","","",42.36124,-71.09423,"765,833.84857","2,956,926.21352",N16B,-,FIRE PUMP ROOM,"","","",01/08/16 05:13 AM,5
N16C,N16C,"","","",Building N16C,"2,925.3",155.39,"2,705.41",MIT,NORTH,0.00,0,SERVICE,OWNED,OTH,UGU,"","","",42.3611,-71.0945,"765,761.41181","2,956,874.05308",N16C,-,BUILDING N16C,"","","",01/08/16 05:13 AM,3
NE45,NE45,"","","",300 Technology Square,"8,049.06","4,586.56",0,MIT,"",2.00,2,ACADEMIC,LEASED,AER,(NULL),0.00,"","","","","","",NE45,-,300 TECHNOLOGY SQUARE,03/21/2014,"","",01/08/16 05:13 AM,24
NE46,NE46,"","","",400 Technology Square,"9,215.4","7,989.19",239.41,MIT,"",2.00,2,ACADEMIC,LEASED,AER,(NULL),0.00,"","","","","","",NE46,-,400 TECHNOLOGY SQUARE,04/25/2014,"","",01/08/16 05:13 AM,36
W1,W1,"","","",Fariborz Maseeh Hall,"189,941.11","107,518.76","43,591.64",MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,74.50,1345000,1345000,42.35762,-71.09351,"766,033.6849","2,955,606.76323",W01,AVERY ALLEN ASHDOWN,FARIBORZ MASEEH HALL,12/31/1900,12/31/1937,12/31/1939,01/08/16 05:13 AM,558
W15,W15,"","","",MIT Chapel,"5,339.35","2,815.91","1,959.77",MIT,WEST,2.00,2,SERVICE,OWNED,STAC,UGA4,33.20,1831500,1831500,42.35833,-71.09412,"765,866.43793","2,955,864.43638",W15,-,MIT CHAPEL,05/01/1954,"",05/01/1955,01/08/16 05:13 AM,26
OC31A,OC31A,"","","",Katahdin Hill 1A,"2,989.21","2,567.45",151.48,LINC,OFFCAMPUS,1.00,1,ACADEMIC,OWNED,OTH,(NULL),"","","","","","","",OC31A,-,KATAHDIN HILL 1A,"","","",01/08/16 05:13 AM,7
OC32,OC32,"","","",Lexington Field House,"18,635.38","14,812.52","2,425.79",LINC,OFFCAMPUS,1.00,1,ACADEMIC,OWNED,OTH,(NULL),"","","","","","","",OC32,-,LEXINGTON FIELD HOUSE,"","","",01/08/16 05:13 AM,19
OC35,OC35,"","","",Annex V,"25,834.27","16,761.01","6,385.23",LINC,OFFCAMPUS,1.00,1,ACADEMIC,OWNED,OTH,(NULL),"","","","","","","",OC35,-,ANNEX V,"","","",01/08/16 05:13 AM,91
W61J,W61J,W61,MACGREGOR HOUSE,Frank S MacGregor House,Frank S MacGregor House (Wing J),"9,271.12","6,152.18","1,249.23",MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,"","","","","","","",W61J,-,MACGREGOR HOUSE (J),"","","",01/08/16 05:13 AM,75
W84,W84,"","","",Tang Residence Hall,"152,328.35","108,852.71","26,869.84",MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,240.40,1348500,1348500,42.35435,-71.10348,"763,344.84497","2,954,403.92877",W84,PING YUAN TANG,TANG HALL,11/16/1970,"",12/31/1973,01/08/16 05:13 AM,308
W85B,W85B,W85ABC,WESTGATE (ABC),Westgate ABC,Westgate B Married Student Housing,"4,635.79","3,705.6",453.68,MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,(NULL),"","","","","","","",W85B,-,WESTGATE (B),"","","",01/08/16 05:13 AM,10
W85H,W85H,W85HJK,WESTGATE (HJK),Westgate HJK,Westgate H Married Student Housing,"4,677.62","3,727.52",445.9,MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,(NULL),"","","","","","","",W85H,-,WESTGATE (H),"","","",01/08/16 05:13 AM,10
W85K,W85K,W85HJK,WESTGATE (HJK),Westgate HJK,Westgate K Married Student Housing,"4,687.15","3,721.22",460.59,MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,(NULL),"","","","","","","",W85K,-,WESTGATE (K),"","","",01/08/16 05:13 AM,10
W91,W91,"","","",Information Systems Operations,"35,748.48","20,108.52","11,871.58",MIT,WEST,1.00,1,SERVICE,OWNED,AER,UGB,40.70,1839100,1839100,42.35432,-71.10443,"763,089.02705","2,954,392.46474",W91,-,INFORMATION SYSTEMS OPERATIONS,12/31/1947,"",12/31/1949,01/08/16 05:13 AM,170
W85HJK,W85HJK,"","","",Westgate HJK,"13,995.47","11,150.3","1,358.4",MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,31.10,1348000,1348000,42.35545,-71.10315,"763,431.30458","2,954,804.68813",W85HJK,-,WESTGATE (HJK),01/01/1962,"",08/01/1963,01/08/16 05:13 AM,0
10,10,"","","",Richard Cockburn MacLaurin Buildings (10),"144,270.71","86,437.63","42,481.65",MIT,MAIN GROUP,2.00,2,ACADEMIC,OWNED,AER,UGA3B,149.20,1811000,1811000,42.35968,-71.09202,"766,433.95508","2,956,359.30543",10,R. C. MACLAURIN,MACLAURIN BUILDINGS (10),07/01/1913,"",12/31/1916,01/08/16 05:13 AM,566
37,37,"","","",Ronald E McNair Building,"102,832.84","55,961.51","32,516.91",MIT,MAIN GROUP,2.00,2,ACADEMIC,OWNED,AER,UGB,89.70,1813700,1813700,42.36068,-71.09325,"766,099.50817","2,956,724.63753",37,RONALD E. MCNAIR,MCNAIR BUILDING,02/01/1966,"",12/31/1969,01/08/16 05:13 AM,411
E39,E39,"","","",290 Main Street,"27,661.19","21,650.24","1,390.09",MIT,EAST,2.00,2,ACADEMIC,LEASED,AER,UGBM,42.30,1823900,1823900,42.3621,-71.08548,"768,196.98498","2,957,251.03856",E39,-,290 MAIN STREET,"",11/01/1967,11/17/1986,01/08/16 05:13 AM,174
E33,E33,"","","",Rinaldi Tile,"7,979.62","6,906.99",303.46,MIT,EAST,2.00,2,ACADEMIC,OWNED,AER,UGS1B,35.00,1823300,1823300,42.36129,-71.08598,"768,061.42548","2,956,954.90552",E33,-,RINALDI TILE,12/31/1925,"","",01/08/16 05:13 AM,32
E51,E51,"","","",Jack C Tang Center For Management Education,"107,990.76","52,259.96","42,972.01",MIT,EAST,2.00,2,ACADEMIC,OWNED,AER,UGA3,60.00,1825100,1825100,42.36055,-71.08449,"768,465.93793","2,956,688.65507",E51,-,TANG CENTER,12/31/1944,12/31/1945,12/31/1980,01/08/16 05:13 AM,316
E55,E55,"","","",Eastgate Married Student Housing,"172,309.33","120,517.81","28,758.1",MIT,EAST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,272.80,1348200,1348200,42.36174,-71.08391,"768,621.58021","2,957,120.12302",E55,-,EASTGATE,11/01/1965,"",08/01/1967,01/08/16 05:13 AM,466
EE19,EE19,"","","",Building EE19,"20,514.89","18,402.12",117.63,MIT,"",1.00,1,ACADEMIC,LEASED,(NULL),(NULL),0.00,"","","","","","",EE19,-,BUILDING EE19,03/21/2014,"","",01/08/16 05:13 AM,145
N57,N57,"","","",Building N57,"46,633.25","41,521.21","2,815.06",MIT,NORTH,2.00,2,SERVICE,OWNED,AER,UGBS1,78.20,1855700,1855700,42.36301,-71.09883,"764,586.83377","2,957,565.55768",N57,-,BUILDING N57,12/31/1922,09/01/1980,"",01/08/16 05:13 AM,52
NE35,NE35,"","","",145 Broadway,"9,525.85","8,260.29",0,MIT,NORTHEAST,2.00,2,ACADEMIC,LEASED,AER,(NULL),0.00,"","",42.36491,-71.08878,922.3372,922.3372,NE35,-,145 BROADWAY,03/21/2014,"","",01/08/16 05:13 AM,51
OC19K,OC19K,"","","",BATES LINAC: Vault & Tunnel Gallery,"55,607.34","40,136.19","4,760.49",BATES,OFFCAMPUS,1.00,1,ACADEMIC,OWNED,AER,(NULL),"",1876000,1876000,"","","","",OC19K,-,BATES LINAC: VAULT & TUNNEL GALLERY,"","","",01/08/16 05:13 AM,45
OC19L,OC19L,"","","",BATES LINAC: Warehouse #1,"2,644.67","2,299.14",0,BATES,OFFCAMPUS,1.00,1,ACADEMIC,OWNED,AER,(NULL),"",1876000,1876000,"","","","",OC19L,-,BATES LINAC: WAREHOUSE #1,"","","",01/08/16 05:13 AM,3
OC22,OC22,"","","",Westford Optics Facility (Haystack),881.78,794.16,0.03,HAY,OFFCAMPUS,1.00,1,ACADEMIC,OWNED,AER,UGB,"",1878000,1878000,42.61186,-71.48467,"660,292.40228","3,047,999.88535",OC22,-,WESTFORD OPTICS FACILITY (HAYSTACK),"","","",01/08/16 05:13 AM,3
OC24,OC24,"","","",Haystack Antenna Facility,"9,060.39","7,042.49",849.63,HAY,OFFCAMPUS,1.00,1,ACADEMIC,LEASED,AER,UGB,"","","",42.61305,-71.49373,"657,854.40782","3,048,434.27866",OC24,-,HAYSTACK ANTENNA FACILITY,"","",01/01/1980,01/08/16 05:13 AM,31
OC25,OC25,"","","",Haystack Observatory,"42,922.56","32,925.58","4,266.76",HAY,OFFCAMPUS,1.00,1,ACADEMIC,OWNED,AER,UGB,"","","",42.62335,-71.48824,"659,331.98663","3,052,186.76552",OC25,-,HAYSTACK OBSERVATORY,"","","",01/08/16 05:13 AM,155
OC31,OC31,"","","",Katahdin Hill 1,"21,163.64","13,246.98","5,884.84",LINC,OFFCAMPUS,1.00,1,ACADEMIC,OWNED,OTH,(NULL),"","","","","","","",OC31,-,KATAHDIN HILL 1,"","","",01/08/16 05:13 AM,95
OC32B,OC32B,"","","",Balloon House B,132.03,116.25,0,LINC,OFFCAMPUS,1.00,1,SERVICE,OWNED,OTH,(NULL),"","","","","","","",OC32B,-,BALLOON HOUSE B,"","","",01/08/16 05:13 AM,1
OC6,OC6,"","","",645 Summer Street,"2,200.92","1,282.67",0,BOS,OFFCAMPUS,1.00,1,SERVICE,LEASED,OTH,(NULL),"","","","","","","",OC06,-,645 SUMMER STREET,"","",04/29/2008,01/08/16 05:13 AM,1
W45,W45,"","","",West Parking Garage,"186,998.09","180,438.3","3,238.58",MIT,WEST,2.00,2,SERVICE,OWNED,GAR,UGS2,42.10,1834500,1834500,42.35907,-71.0976,"764,925.65477","2,956,130.57693",W45,-,WEST GARAGE,12/31/1963,"",06/01/1964,01/08/16 05:13 AM,27
