name,target type,desc,component id
Gastrin releasing peptide receptor,SINGLE PROTEIN,2599,2599
Glutathione reductase,SINGLE PROTEIN,1088,1088
Testis-specific androgen-binding protein,SINGLE PROTEIN,1625,1625
NAD-dependent histone deacetylase SIR2,SINGLE PROTEIN,1596,1596
Cyclin-dependent kinase 5 regulatory subunit 1,SINGLE PROTEIN,60,60
"Serine/threonine protein phosphatase 2A, catalytic subunit, alpha isoform",SINGLE PROTEIN,3021,3021
Phospholipase A2 group 1B,SINGLE PROTEIN,2742,2742
Group IID secretory phospholipase A2,SINGLE PROTEIN,2600,2600
Catechol O-methyltransferase,SINGLE PROTEIN,714,714
Phosphodiesterase 5A,SINGLE PROTEIN,2884,2884
Prostanoid DP receptor,SINGLE PROTEIN,2743,2743
Vitronectin receptor alpha,SINGLE PROTEIN,8,8
Protein kinase C theta,SINGLE PROTEIN,2241,2241
Serine/threonine-protein kinase AKT,SINGLE PROTEIN,5788,5788
Tubulin alpha-1 chain,SINGLE PROTEIN,2458,2458
Tyrosine-protein kinase receptor FLT3,SINGLE PROTEIN,297,297
Hexokinase type III,SINGLE PROTEIN,1949,1949
Epoxide hydratase,SINGLE PROTEIN,2459,2459
"Serine/threonine protein phosphatase 2A, 55 kDa regulatory subunit B, alpha isoform",SINGLE PROTEIN,2602,2602
Alpha-1-acid glycoprotein 1,SINGLE PROTEIN,2603,2603
Amphiregulin,SINGLE PROTEIN,2047,2047
Spermidine/spermine N(1)-acetyltransferase 1,SINGLE PROTEIN,2604,2604
C5a anaphylatoxin chemotactic receptor,SINGLE PROTEIN,715,715
Pyruvate dehydrogenase kinase isoform 1,SINGLE PROTEIN,3082,3082
Pyruvate dehydrogenase kinase isoform 3,SINGLE PROTEIN,2213,2213
Pyruvate dehydrogenase kinase isoform 4,SINGLE PROTEIN,2460,2460
Serotonin 2a (5-HT2a) receptor,SINGLE PROTEIN,2961,2961
Serotonin 2b (5-HT2b) receptor,SINGLE PROTEIN,2194,2194
Serotonin 2c (5-HT2c) receptor,SINGLE PROTEIN,2748,2748
Purine nucleoside phosphorylase,SINGLE PROTEIN,2656,2656
Adenylate cyclase type I,SINGLE PROTEIN,1870,1870
TRAIL receptor-1,SINGLE PROTEIN,1872,1872
Tyrosine-protein kinase TYK2 ,SINGLE PROTEIN,1874,1874
Histone deacetylase 1,SINGLE PROTEIN,107,107
Mevalonate pyrophosphate decarboxylase,SINGLE PROTEIN,2658,2658
Receptor protein-tyrosine kinase erbB-4,SINGLE PROTEIN,1338,1338
"Acetyl-CoA acetyltransferase, mitochondrial",SINGLE PROTEIN,950,950
Thiopurine S-methyltransferase,SINGLE PROTEIN,840,840
Tryptase beta-1,SINGLE PROTEIN,951,951
Transthyretin,SINGLE PROTEIN,1517,1517
Thymidylate synthase,SINGLE PROTEIN,2659,2659
"Thymidine kinase, cytosolic",SINGLE PROTEIN,952,952
Melanocortin receptor 1,SINGLE PROTEIN,2396,2396
G1/S-specific cyclin D3,SINGLE PROTEIN,763,763
FK506 binding protein 14,SINGLE PROTEIN,683,683
Gamma-secretase subunit PEN-2,SINGLE PROTEIN,716,716
Serotonin 5b (5-HT5b) receptor,SINGLE PROTEIN,953,953
Sodium/potassium-transporting ATPase alpha-1 chain,SINGLE PROTEIN,2449,2449
Acetylcholine receptor protein delta chain ,SINGLE PROTEIN,57,57
Neuronal acetylcholine receptor subunit beta-4,SINGLE PROTEIN,20,20
Serine/threonine-protein kinase Sgk1,SINGLE PROTEIN,684,684
Vasopressin V1b receptor,SINGLE PROTEIN,995,995
Vasopressin V2 receptor,SINGLE PROTEIN,685,685
Leukocyte adhesion molecule-1,SINGLE PROTEIN,1486,1486
Leukocyte adhesion molecule-1,SINGLE PROTEIN,1487,1487
P-selectin,SINGLE PROTEIN,5014,5014
Ribosomal protein S6 kinase alpha 3,SINGLE PROTEIN,686,686
Matriptase,SINGLE PROTEIN,1346,1346
Estrogen sulfotransferase,SINGLE PROTEIN,687,687
Lysosomal phospholipase A1,SINGLE PROTEIN,621,621
Adenylate kinase 1,SINGLE PROTEIN,2090,2090
Histone deacetylase 8,SINGLE PROTEIN,688,688
Phosphorylase kinase gamma subunit 2,SINGLE PROTEIN,690,690
6-O-methylguanine-DNA methyltransferase,SINGLE PROTEIN,1194,1194
Matrix metalloproteinase 7,SINGLE PROTEIN,2392,2392
Cytochrome P450 3A5,SINGLE PROTEIN,1347,1347
ATP-citrate synthase,SINGLE PROTEIN,1080,1080
Alpha-1d adrenergic receptor,SINGLE PROTEIN,33,33
Alpha-2a adrenergic receptor,SINGLE PROTEIN,691,691
Alpha-2a adrenergic receptor,SINGLE PROTEIN,2746,2746
Aspartate aminotransferase mitochondrial,SINGLE PROTEIN,1963,1963
Aspartate aminotransferase mitochondrial,SINGLE PROTEIN,692,692
Gamma-amino-N-butyrate transaminase,SINGLE PROTEIN,1473,1473
Lysosomal acid lipase/cholesteryl ester hydrolase ,SINGLE PROTEIN,693,693
Vitamin D receptor,SINGLE PROTEIN,694,694
Vitamin D receptor,SINGLE PROTEIN,1475,1475
Peroxisome proliferator-activated receptor gamma,SINGLE PROTEIN,3115,3115
Intestinal alkaline phosphatase,SINGLE PROTEIN,1476,1476
Dopamine D5 receptor,SINGLE PROTEIN,622,622
GABA receptor alpha-3 subunit,SINGLE PROTEIN,1354,1354
GABA receptor alpha-3 subunit,SINGLE PROTEIN,30,30
S-adenosylmethionine decarboxylase 1,SINGLE PROTEIN,1904,1904
Ornithine decarboxylase,SINGLE PROTEIN,1832,1832
Superoxide dismutase,SINGLE PROTEIN,695,695
Enoyl-CoA hydratase 1,SINGLE PROTEIN,1478,1478
FK506 binding protein 3,SINGLE PROTEIN,3062,3062
GABA receptor alpha-2 subunit,SINGLE PROTEIN,3269,3269
Alkaline phosphatase tissue-nonspecific,SINGLE PROTEIN,996,996
Casein kinase II alpha (prime),SINGLE PROTEIN,2389,2389
Casein kinase II beta ,SINGLE PROTEIN,699,699
CaM kinase II alpha,SINGLE PROTEIN,700,700
Kynurenine/alpha-aminoadipate aminotransferase,SINGLE PROTEIN,998,998
S-methyl-5-thioadenosine phosphorylase,SINGLE PROTEIN,999,999
Somatostatin receptor 1,SINGLE PROTEIN,231,231
Estrogen receptor alpha,SINGLE PROTEIN,1393,1393
Estrogen receptor alpha,SINGLE PROTEIN,1060,1060
Endothelin receptor ET-A,SINGLE PROTEIN,2448,2448
Endothelin receptor ET-B,SINGLE PROTEIN,2717,2717
Somatostatin receptor 5,SINGLE PROTEIN,2635,2635
Retinoid X receptor gamma,SINGLE PROTEIN,2718,2718
Adenosylhomocysteinase ,SINGLE PROTEIN,1000,1000
Uroporphyrinogen-III synthase,SINGLE PROTEIN,2750,2750
Heme oxygenase 1,SINGLE PROTEIN,2751,2751
Insulin-like growth factor binding protein 5,SINGLE PROTEIN,1001,1001
Beta-lactamase,SINGLE PROTEIN,1061,1061
Sialidase 1,SINGLE PROTEIN,1062,1062
Angiotensin II type 1a (AT-1a) receptor,SINGLE PROTEIN,1697,1697
Type-1A angiotensin II receptor,SINGLE PROTEIN,1921,1921
AMP deaminase 1 ,SINGLE PROTEIN,1199,1199
Plasminogen,SINGLE PROTEIN,1527,1527
"Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase",SINGLE PROTEIN,649,649
Alpha-mannosidase 2C1,SINGLE PROTEIN,1182,1182
Neuromedin B receptor,SINGLE PROTEIN,2757,2757
Glutamate [NMDA] receptor subunit epsilon 2,SINGLE PROTEIN,1764,1764
Alpha-fetoglobulin,SINGLE PROTEIN,1466,1466
Methionyl-tRNA synthetase ,SINGLE PROTEIN,1200,1200
Glutaminyl-tRNA synthetase,SINGLE PROTEIN,1381,1381
Methionyl-tRNA synthetase ,SINGLE PROTEIN,3668,3668
Sodium/glucose cotransporter 1,SINGLE PROTEIN,3670,3670
Sodium/glucose cotransporter 2,SINGLE PROTEIN,2633,2633
Cholecystokinin A receptor,SINGLE PROTEIN,1201,1201
C-X-C chemokine receptor type 3,SINGLE PROTEIN,2758,2758
Cyclin-dependent kinase 3,SINGLE PROTEIN,2759,2759
Cyclin-dependent kinase 7,SINGLE PROTEIN,1382,1382
Peptidyl-glycine alpha-amidating monooxygenase ,SINGLE PROTEIN,3276,3276
Androgen Receptor,SINGLE PROTEIN,1383,1383
Androgen Receptor,SINGLE PROTEIN,1400,1400
Glutamate [NMDA] receptor subunit epsilon 4,SINGLE PROTEIN,926,926
Small conductance calcium-activated potassium channel protein 1,SINGLE PROTEIN,2059,2059
Small conductance calcium-activated potassium channel protein 2,SINGLE PROTEIN,886,886
Macrophage colony stimulating factor  receptor ,SINGLE PROTEIN,145,145
Histamine H1 receptor,SINGLE PROTEIN,2639,2639
Galactoside 3(4)-L-fucosyltransferase,SINGLE PROTEIN,1590,1590
Fucosyltransferase 6,SINGLE PROTEIN,2760,2760
Glucose-6-phosphatase,SINGLE PROTEIN,623,623
Methionyl-tRNA synthetase ,SINGLE PROTEIN,2362,2362
Vitamin K-dependent protein C,SINGLE PROTEIN,2761,2761
Acyl-CoA:dihydroxyacetonephosphateacyltransferase,SINGLE PROTEIN,2811,2811
NADH-ubiquinone oxidoreductase MLRQ subunit,SINGLE PROTEIN,658,658
Phospholipase A2 group V,SINGLE PROTEIN,2640,2640
Alpha-1a adrenergic receptor,SINGLE PROTEIN,1954,1954
Adenosine A2b receptor,SINGLE PROTEIN,927,927
Peptide N-myristoyltransferase 1,SINGLE PROTEIN,928,928
"CMP-N-acetylneuraminate-beta-1,4-galactoside alpha-2,3-sialyltransferase",SINGLE PROTEIN,1533,1533
Tryptase gamma,SINGLE PROTEIN,3268,3268
Potassium-transporting ATPase beta chain,SINGLE PROTEIN,877,877
ADAMTS4,SINGLE PROTEIN,659,659
ADAMTS5,SINGLE PROTEIN,626,626
Endothelin receptor ET-A,SINGLE PROTEIN,627,627
Mast cell protease 3,SINGLE PROTEIN,1493,1493
Glutamate (NMDA) receptor subunit zeta 1,SINGLE PROTEIN,44,44
UDP-glucuronosyltransferase 1A4,SINGLE PROTEIN,1936,1936
Matrix metalloproteinase 11,SINGLE PROTEIN,1734,1734
Matrix metalloproteinase 12,SINGLE PROTEIN,929,929
Inosine-5'-monophosphate dehydrogenase 2,SINGLE PROTEIN,1494,1494
"Inositol 1,4,5-trisphosphate 3 kinase C",SINGLE PROTEIN,1003,1003
Carbonic anhydrase II,SINGLE PROTEIN,624,624
Serum albumin,SINGLE PROTEIN,2044,2044
Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1,SINGLE PROTEIN,629,629
Galanin receptor 3,SINGLE PROTEIN,1067,1067
Beta-2 adrenergic receptor,SINGLE PROTEIN,630,630
Human immunodeficiency virus type I enhancer-binding protein 1,SINGLE PROTEIN,1239,1239
Cytochrome P450 7A1,SINGLE PROTEIN,680,680
ATP-citrate synthase,SINGLE PROTEIN,1585,1585
Metabotropic glutamate receptor 1,SINGLE PROTEIN,2794,2794
Metabotropic glutamate receptor 2,SINGLE PROTEIN,3441,3441
Carbonic anhydrase IV,SINGLE PROTEIN,2045,2045
"Amine oxidase, copper containing",SINGLE PROTEIN,1586,1586
Endothelin-converting enzyme 1,SINGLE PROTEIN,681,681
"Nitric-oxide synthase, endothelial",SINGLE PROTEIN,3120,3120
Glutamate receptor ionotropic kainate 3,SINGLE PROTEIN,2060,2060
S-adenosylhomocysteine nucleosidase,SINGLE PROTEIN,1196,1196
Chitin synthase 1,SINGLE PROTEIN,1801,1801
Neutral sphingomyelinase,SINGLE PROTEIN,1849,1849
Ileal bile acid transporter,SINGLE PROTEIN,1111,1111
Neurotensin receptor 1,SINGLE PROTEIN,2442,2442
Cytochrome P450 2C9,SINGLE PROTEIN,1718,1718
Cytochrome P450 2C19,SINGLE PROTEIN,1939,1939
Tyrosine-protein kinase TIE-2,SINGLE PROTEIN,4960,4960
NF-kappaB inhibitor alpha,SINGLE PROTEIN,1228,1228
Inhibitor of nuclear factor kappa B kinase epsilon subunit,SINGLE PROTEIN,1850,1850
Dual specificity mitogen-activated protein kinase kinase 7,SINGLE PROTEIN,1851,1851
Acyl coenzyme A:cholesterol acyltransferase 1,SINGLE PROTEIN,1115,1115
Monoamine oxidase A,SINGLE PROTEIN,1996,1996
Carbonic anhydrase XIII,SINGLE PROTEIN,2233,2233
Integrin alpha-1,SINGLE PROTEIN,1997,1997
ADAMTS4,SINGLE PROTEIN,2193,2193
Voltage-gated potassium channel subunit Kv7.1,SINGLE PROTEIN,179,179
NADH-ubiquinone oxidoreductase chain 1 ,SINGLE PROTEIN,2814,2814
Cathepsin B ,SINGLE PROTEIN,937,937
NADH-ubiquinone oxidoreductase chain 3 ,SINGLE PROTEIN,2815,2815
NADH-ubiquinone oxidoreductase chain 4 ,SINGLE PROTEIN,2816,2816
Carboxypeptidase A1,SINGLE PROTEIN,1802,1802
Mast cell carboxypeptidase A,SINGLE PROTEIN,981,981
Phosphoribosyl pyrophosphate synthetase-associated protein 2,SINGLE PROTEIN,982,982
Vesicular acetylcholine transporter,SINGLE PROTEIN,3083,3083
Ribosomal protein S6 kinase 1,SINGLE PROTEIN,2818,2818
Cytidine deaminase,SINGLE PROTEIN,2819,2819
Cyclin-dependent kinase 4,SINGLE PROTEIN,17,17
Cyclin-dependent kinase 5,SINGLE PROTEIN,51,51
Carnitine palmitoyltransferase 2,SINGLE PROTEIN,2357,2357
Cytochrome P450 17A1,SINGLE PROTEIN,1843,1843
Metabotropic glutamate receptor 7,SINGLE PROTEIN,2200,2200
Metabotropic glutamate receptor 8,SINGLE PROTEIN,2943,2943
Carbonic anhydrase IX,SINGLE PROTEIN,1913,1913
Carbonic anhydrase-related protein 2,SINGLE PROTEIN,761,761
Calpain 1,SINGLE PROTEIN,5024,5024
Metabotropic glutamate receptor 7,SINGLE PROTEIN,2095,2095
Myosin light chain kinase,SINGLE PROTEIN,2944,2944
Glutamate dehydrogenase,SINGLE PROTEIN,2945,2945
Complement factor H,SINGLE PROTEIN,2946,2946
Nociceptin receptor,SINGLE PROTEIN,2820,2820
Rho-GTPase-activating protein 3,SINGLE PROTEIN,2821,2821
Serine/threonine-protein kinase Chk1 ,SINGLE PROTEIN,2947,2947
Orexin receptor 2,SINGLE PROTEIN,3109,3109
P2X purinoceptor 6,SINGLE PROTEIN,1006,1006
Cytochrome P450 17A1,SINGLE PROTEIN,2747,2747
DNA topoisomerase II ,SINGLE PROTEIN,1007,1007
Inositol-1(or 4)-monophosphatase 2,SINGLE PROTEIN,66,66
Inositol-1(or 4)-monophosphatase 1,SINGLE PROTEIN,2822,2822
Rho/Rac guanine nucleotide exchange factor,SINGLE PROTEIN,1192,1192
MAP kinase p38 gamma,SINGLE PROTEIN,2992,2992
Phospholipase C-beta-1,SINGLE PROTEIN,2353,2353
Voltage-gated potassium channel subunit Kv7.3,SINGLE PROTEIN,1020,1020
Corticotropin releasing factor receptor 2,SINGLE PROTEIN,1901,1901
Tripeptidyl aminopeptidase,SINGLE PROTEIN,2993,2993
Serine/threonine protein phosphatase PP1-gamma catalytic subunit,SINGLE PROTEIN,2755,2755
Matrix metalloproteinase-1,SINGLE PROTEIN,3290,3290
Matrix metalloproteinase-2,SINGLE PROTEIN,2356,2356
TGF-beta receptor type I,SINGLE PROTEIN,2756,2756
Kallikrein 1,SINGLE PROTEIN,660,660
Deoxyhypusine synthase,SINGLE PROTEIN,878,878
Collagen alpha 2 chain,SINGLE PROTEIN,1021,1021
Formyl peptide receptor 1,SINGLE PROTEIN,1681,1681
UDP-N-acetylmuramoylalanine-D-glutamyl-lysine-D-alanyl-D-alanine ligase ,SINGLE PROTEIN,2636,2636
Dihydrofolate reductase,SINGLE PROTEIN,3204,3204
Adenosine deaminase,SINGLE PROTEIN,1529,1529
Somatostatin receptor 2,SINGLE PROTEIN,1530,1530
Uridine phosphorylase 1,SINGLE PROTEIN,2034,2034
Cellular retinoic acid-binding protein I,SINGLE PROTEIN,1531,1531
Glutathione S-transferase kappa 1 ,SINGLE PROTEIN,2808,2808
Cyclophilin A,SINGLE PROTEIN,1113,1113
Cyclooxygenase-2,SINGLE PROTEIN,1308,1308
Human immunodeficiency virus 1 nucleocapsid,SINGLE PROTEIN,2118,2118
Phosphodiesterase 1A,SINGLE PROTEIN,2092,2092
Estradiol 17-beta-dehydrogenase 2,SINGLE PROTEIN,1120,1120
Dihydropteridine reductase,SINGLE PROTEIN,2046,2046
Quinone reductase 1),SINGLE PROTEIN,1940,1940
Prostaglandin I2 synthase,SINGLE PROTEIN,2744,2744
Protein-tyrosine phosphatase 1B,SINGLE PROTEIN,1270,1270
GABA receptor rho-1 subunit,SINGLE PROTEIN,1882,1882
Cholecystokinin B receptor,SINGLE PROTEIN,1829,1829
Glucocorticoid receptor,SINGLE PROTEIN,1469,1469
AICAR transformylase,SINGLE PROTEIN,618,618
Beta-glucocerebrosidase,SINGLE PROTEIN,619,619
DNA polymerase gamma subunit 1,SINGLE PROTEIN,1068,1068
GABA transporter 1,SINGLE PROTEIN,2373,2373
Dopamine transporter,SINGLE PROTEIN,1719,1719
Melanocortin receptor 2,SINGLE PROTEIN,620,620
Atrial natriuretic factor,SINGLE PROTEIN,2605,2605
Arylamine N-acetyltransferase 1 ,SINGLE PROTEIN,3407,3407
Cytochrome P450 2D3,SINGLE PROTEIN,1384,1384
Estrogen sulfotransferase,SINGLE PROTEIN,2129,2129
Dopamine D2 receptor,SINGLE PROTEIN,2131,2131
Human immunodeficiency virus type 1 Tat protein,SINGLE PROTEIN,2330,2330
Human immunodeficiency virus type 1 REV,SINGLE PROTEIN,2169,2169
Envelope polyprotein GP160,SINGLE PROTEIN,1841,1841
Dihydrofolate reductase,SINGLE PROTEIN,2170,2170
Glutamate racemase,SINGLE PROTEIN,2171,2171
Dihydrofolate reductase,SINGLE PROTEIN,2331,2331
Human herpesvirus 3 deoxypyrimidine kinase,SINGLE PROTEIN,2327,2327
Human herpesvirus 6 DNA polymerase,SINGLE PROTEIN,2328,2328
Human herpesvirus 6 protease,SINGLE PROTEIN,2329,2329
Human herpesvirus 4 protease/capsid scaffold protein,SINGLE PROTEIN,2332,2332
Human herpesvirus 1 protease,SINGLE PROTEIN,1839,1839
Adenosine transporter 1,SINGLE PROTEIN,936,936
Androgen Receptor,SINGLE PROTEIN,2272,2272
Glucose-6-phosphate dehydrogenase,SINGLE PROTEIN,1767,1767
Serotonin 2a (5-HT2a) receptor,SINGLE PROTEIN,1768,1768
Phospholipase A2 group 1B,SINGLE PROTEIN,3328,3328
"Mannosidase 2, alpha B1",SINGLE PROTEIN,1769,1769
Corticosteroid binding globulin,SINGLE PROTEIN,1770,1770
Glutamate (NMDA) receptor subunit zeta 1,SINGLE PROTEIN,1772,1772
Glycerol-3-phosphate dehydrogenase,SINGLE PROTEIN,2290,2290
Isoleucyl-tRNA synthetase,SINGLE PROTEIN,939,939
Acetylcholinesterase,SINGLE PROTEIN,2397,2397
Cyclooxygenase-1,SINGLE PROTEIN,1190,1190
C5a anaphylatoxin chemotactic receptor,SINGLE PROTEIN,1191,1191
Bradykinin B2 receptor,SINGLE PROTEIN,2429,2429
"Retina-specific amine oxidase, copper containing",SINGLE PROTEIN,2430,2430
Ecdysone receptor,SINGLE PROTEIN,2431,2431
ADAM17,SINGLE PROTEIN,1652,1652
Phosphodiesterase 4A,SINGLE PROTEIN,1653,1653
Cyclooxygenase-1,SINGLE PROTEIN,1654,1654
Cytochrome P450 2B1,SINGLE PROTEIN,1655,1655
Malate dehydrogenase mitochondrial,SINGLE PROTEIN,1766,1766
Tyrosine-protein kinase SRC,SINGLE PROTEIN,1971,1971
Coagulation factor X,SINGLE PROTEIN,1972,1972
Beta-chymotrypsin,SINGLE PROTEIN,1391,1391
Isoleucyl-tRNA synthetase,SINGLE PROTEIN,1973,1973
Tubulin alpha chain ,SINGLE PROTEIN,1974,1974
Fibronectin,SINGLE PROTEIN,2128,2128
Plasma retinol-binding protein,SINGLE PROTEIN,1427,1427
Simian sarcoma virus Pol protein,SINGLE PROTEIN,1314,1314
Cytochrome P450 3A4,SINGLE PROTEIN,151,151
Cyclooxygenase-1,SINGLE PROTEIN,1280,1280
Cell division protein ftsZ ,SINGLE PROTEIN,2318,2318
Progesterone receptor,SINGLE PROTEIN,1777,1777
Beta-glucuronidase,SINGLE PROTEIN,1064,1064
Alkaline phosphatase tissue-nonspecific,SINGLE PROTEIN,1065,1065
Beta-2 adrenergic receptor,SINGLE PROTEIN,2070,2070
Lipoprotein lipase,SINGLE PROTEIN,1392,1392
Acyl coenzyme A:cholesterol acyltransferase,SINGLE PROTEIN,958,958
Aldose reductase,SINGLE PROTEIN,1887,1887
Voltage-gated L-type calcium channel alpha-1C subunit,SINGLE PROTEIN,1159,1159
Alcohol sulfotransferase,SINGLE PROTEIN,1336,1336
Aldose reductase,SINGLE PROTEIN,1408,1408
Insulin-like growth factor binding protein 2,SINGLE PROTEIN,1415,1415
Alpha-1b adrenergic receptor,SINGLE PROTEIN,1448,1448
Neurotensin receptor 1,SINGLE PROTEIN,1355,1355
GABA receptor alpha-2 subunit,SINGLE PROTEIN,32,32
Acetylcholinesterase,SINGLE PROTEIN,3084,3084
Thymidine kinase,SINGLE PROTEIN,2341,2341
Dopamine transporter,SINGLE PROTEIN,1317,1317
tRNA-guanine transglycosylase,SINGLE PROTEIN,1318,1318
"Inositol 1,4,5-trisphosphate receptor type 1",SINGLE PROTEIN,1134,1134
Cholesterol esterase,SINGLE PROTEIN,1319,1319
Neurokinin 1 receptor,SINGLE PROTEIN,2261,2261
Histamine H1 receptor,SINGLE PROTEIN,2262,2262
Melanocortin receptor 3,SINGLE PROTEIN,2342,2342
Vasopressin V2 receptor,SINGLE PROTEIN,2263,2263
Choline acetylase,SINGLE PROTEIN,2264,2264
Mannose-6-phosphate isomerase,SINGLE PROTEIN,2265,2265
Angiotensin II type 1a (AT-1a) receptor,SINGLE PROTEIN,2267,2267
Endothelin receptor ET-B,SINGLE PROTEIN,2268,2268
Kappa opioid receptor,SINGLE PROTEIN,2271,2271
Adenosine A2a receptor,SINGLE PROTEIN,940,940
Arachidonate 5-lipoxygenase,SINGLE PROTEIN,4793,4793
Retinoid X receptor beta,SINGLE PROTEIN,1135,1135
Estrogen receptor alpha,SINGLE PROTEIN,1260,1260
Aldehyde dehydrogenase 1A1,SINGLE PROTEIN,1261,1261
Alpha-glucosidase MAL12,SINGLE PROTEIN,1262,1262
Potassium-transporting ATPase alpha chain 2,SINGLE PROTEIN,1263,1263
Type III iodothyronine deiodinase,SINGLE PROTEIN,1928,1928
Microsomal triglyceride transfer protein large subunit,SINGLE PROTEIN,1264,1264
Purine nucleoside phosphorylase,SINGLE PROTEIN,1265,1265
Cell division protein zipA ,SINGLE PROTEIN,2273,2273
Cyclooxygenase-2,SINGLE PROTEIN,2420,2420
Type 1 InsP3 receptor isoform S2 ,SINGLE PROTEIN,1281,1281
Delta opioid receptor,SINGLE PROTEIN,2421,2421
Serotonin 1b (5-HT1b) receptor,SINGLE PROTEIN,2422,2422
Serotonin 1d (5-HT1d) receptor,SINGLE PROTEIN,2423,2423
Cathepsin D,SINGLE PROTEIN,2424,2424
Coagulation factor XII,SINGLE PROTEIN,1854,1854
Voltage-gated L-type calcium channel alpha-1S subunit,SINGLE PROTEIN,2426,2426
Glutamate [NMDA] receptor subunit epsilon 3,SINGLE PROTEIN,2427,2427
Calpain 2,SINGLE PROTEIN,1929,1929
Vitamin D receptor,SINGLE PROTEIN,1773,1773
Bradykinin B2 receptor,SINGLE PROTEIN,1774,1774
Beta-lactamase class C,SINGLE PROTEIN,1820,1820
Glycine receptor alpha-4 chain,SINGLE PROTEIN,1821,1821
Cholecystokinin A receptor,SINGLE PROTEIN,1822,1822
Neurokinin 2 receptor,SINGLE PROTEIN,983,983
Squalene synthetase,SINGLE PROTEIN,4853,4853
Group VII phospholipase A2 ,SINGLE PROTEIN,1967,1967
Beta-lactamase TEM,SINGLE PROTEIN,1968,1968
Cytidine deaminase,SINGLE PROTEIN,1969,1969
Vitamin D3 receptor,SINGLE PROTEIN,984,984
Histone deacetylase ,SINGLE PROTEIN,1943,1943
Serine-threonine protein phosphatase 2A regulatory subunit ,SINGLE PROTEIN,1005,1005
Neutral alpha-glucosidase C ,SINGLE PROTEIN,1952,1952
Muscarinic acetylcholine receptor M1,SINGLE PROTEIN,1008,1008
Kappa opioid receptor,SINGLE PROTEIN,1992,1992
Plasmin,SINGLE PROTEIN,1994,1994
Inducible nitric oxide synthase ,SINGLE PROTEIN,1995,1995
Arachidonate 5-lipoxygenase,SINGLE PROTEIN,1311,1311
Carnitine palmitoyltransferase 1A,SINGLE PROTEIN,1312,1312
Glutamate [NMDA] receptor subunit 3A,SINGLE PROTEIN,65,65
ADAMTS5,SINGLE PROTEIN,1009,1009
Adenosine kinase,SINGLE PROTEIN,1313,1313
Ribosomal protein S6 kinase 2,SINGLE PROTEIN,1438,1438
Matrix metalloproteinase 17,SINGLE PROTEIN,1267,1267
Thioesterase GrsT homolog tycF,SINGLE PROTEIN,2258,2258
Alpha-galactosidase A,SINGLE PROTEIN,2428,2428
Beta-2 adrenergic receptor,SINGLE PROTEIN,2119,2119
Suv3 helicase,SINGLE PROTEIN,1959,1959
Acetolactate synthase,SINGLE PROTEIN,2582,2582
24-sterol C-methyltransferase,SINGLE PROTEIN,2583,2583
Modulator of drug activity A,SINGLE PROTEIN,3794,3794
CG8425-PA [Drosophila melanogaster],SINGLE PROTEIN,2584,2584
Dihydrofolate reductase,SINGLE PROTEIN,1960,1960
Hydroxycarboxylic acid receptor 2,SINGLE PROTEIN,3048,3048
Secreted effector protein,SINGLE PROTEIN,1962,1962
Voltage-gated P/Q-type calcium channel alpha-1A subunit,SINGLE PROTEIN,2585,2585
Voltage-gated L-type calcium channel alpha-1F subunit,SINGLE PROTEIN,3882,3882
Trypsin II,SINGLE PROTEIN,2607,2607
UDP-3-O-acyl-GlcNAc deacetylase,SINGLE PROTEIN,5117,5117
Tyrosine-protein kinase YES,SINGLE PROTEIN,433,433
3-oxoacyl-[acyl-carrier-protein] synthase III,SINGLE PROTEIN,1957,1957
Sodium/glucose cotransporter 1,SINGLE PROTEIN,3292,3292
Cytochrome P450 11A1,SINGLE PROTEIN,3544,3544
3-dehydroquinate dehydratase ,SINGLE PROTEIN,3574,3574
Beta-lactamase,SINGLE PROTEIN,3342,3342
Sodium channel protein type IV alpha subunit,SINGLE PROTEIN,432,432
Plasmepsin 1,SINGLE PROTEIN,3005,3005
Plasmepsin 2,SINGLE PROTEIN,2730,2730
Deoxyhypusine synthase,SINGLE PROTEIN,2731,2731
Platelet-activating factor acetylhydrolase IB beta subunit,SINGLE PROTEIN,2779,2779
Sodium channel protein type VII alpha subunit,SINGLE PROTEIN,1905,1905
DNA topoisomerase II alpha,SINGLE PROTEIN,1906,1906
Voltage-gated N-type calcium channel alpha-1B subunit,SINGLE PROTEIN,3413,3413
Platelet-activating factor acetylhydrolase IB gamma subunit,SINGLE PROTEIN,3414,3414
Sodium channel protein type IX alpha subunit,SINGLE PROTEIN,2613,2613
Beta-1 adrenergic receptor,SINGLE PROTEIN,2668,2668
UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase,SINGLE PROTEIN,1958,1958
Serotonin 1d (5-HT1d) receptor,SINGLE PROTEIN,2614,2614
DNA topoisomerase II beta,SINGLE PROTEIN,3855,3855
Phenylalanyl-tRNA synthetase alpha chain,SINGLE PROTEIN,3008,3008
Proteinase activated receptor 4,SINGLE PROTEIN,3009,3009
Sodium channel protein type II alpha subunit,SINGLE PROTEIN,2506,2506
Sodium channel protein type III alpha subunit,SINGLE PROTEIN,3467,3467
"1,3-beta-glucan synthase ",SINGLE PROTEIN,381,381
