Area Code,Region/Country/Area,Year,Education Level,Ratio of Girls to Boys,Footnotes,Data Source
446,"China, Macao SAR",2019,Ratio of girls to boys in secondary education,1.0,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
446,"China, Macao SAR",2020,Ratio of girls to boys in secondary education,1.0,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
446,"China, Macao SAR",2005,Ratio of girls to boys in upper secondary education,0.98,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
446,"China, Macao SAR",2010,Ratio of girls to boys in upper secondary education,1.03,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
446,"China, Macao SAR",2015,Ratio of girls to boys in upper secondary education,1.01,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
446,"China, Macao SAR",2018,Ratio of girls to boys in upper secondary education,1.02,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
446,"China, Macao SAR",2019,Ratio of girls to boys in upper secondary education,1.02,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
446,"China, Macao SAR",2020,Ratio of girls to boys in upper secondary education,1.0,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
170,Colombia,1995,Ratio of girls to boys in primary education,0.99,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
170,Colombia,2005,Ratio of girls to boys in primary education,0.98,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
170,Colombia,2010,Ratio of girls to boys in primary education,0.98,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
170,Colombia,2015,Ratio of girls to boys in primary education,0.97,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
170,Colombia,2018,Ratio of girls to boys in primary education,0.97,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
170,Colombia,2019,Ratio of girls to boys in primary education,0.97,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
170,Colombia,1995,Ratio of girls to boys in secondary education,1.15,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
170,Colombia,2005,Ratio of girls to boys in secondary education,1.11,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
170,Colombia,2010,Ratio of girls to boys in secondary education,1.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
170,Colombia,2015,Ratio of girls to boys in secondary education,1.07,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
170,Colombia,2018,Ratio of girls to boys in secondary education,1.05,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
170,Colombia,2019,Ratio of girls to boys in secondary education,1.05,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
170,Colombia,2005,Ratio of girls to boys in upper secondary education,1.19,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
170,Colombia,2010,Ratio of girls to boys in upper secondary education,1.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
170,Colombia,2015,Ratio of girls to boys in upper secondary education,1.18,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
170,Colombia,2018,Ratio of girls to boys in upper secondary education,1.15,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
170,Colombia,2019,Ratio of girls to boys in upper secondary education,1.14,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
174,Comoros,2018,Ratio of girls to boys in primary education,1.0,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
174,Comoros,2018,Ratio of girls to boys in secondary education,1.07,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
174,Comoros,2018,Ratio of girls to boys in upper secondary education,1.11,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
178,Congo,1995,Ratio of girls to boys in primary education,0.85,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
178,Congo,2005,Ratio of girls to boys in primary education,0.93,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
178,Congo,2010,Ratio of girls to boys in primary education,0.95,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
178,Congo,2018,Ratio of girls to boys in primary education,0.97,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
184,Cook Islands,2005,Ratio of girls to boys in primary education,0.99,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
184,Cook Islands,2010,Ratio of girls to boys in primary education,0.95,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
184,Cook Islands,2015,Ratio of girls to boys in primary education,0.96,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
184,Cook Islands,2019,Ratio of girls to boys in primary education,0.96,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
184,Cook Islands,2020,Ratio of girls to boys in primary education,0.98,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
184,Cook Islands,2005,Ratio of girls to boys in secondary education,1.05,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
184,Cook Islands,2010,Ratio of girls to boys in secondary education,1.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
184,Cook Islands,2015,Ratio of girls to boys in secondary education,1.06,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
184,Cook Islands,2019,Ratio of girls to boys in secondary education,1.04,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
184,Cook Islands,2020,Ratio of girls to boys in secondary education,0.99,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
184,Cook Islands,2010,Ratio of girls to boys in upper secondary education,1.26,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
184,Cook Islands,2015,Ratio of girls to boys in upper secondary education,1.16,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
184,Cook Islands,2019,Ratio of girls to boys in upper secondary education,1.07,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
184,Cook Islands,2020,Ratio of girls to boys in upper secondary education,1.16,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
188,Costa Rica,1995,Ratio of girls to boys in primary education,0.99,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
188,Costa Rica,2005,Ratio of girls to boys in primary education,0.97,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
188,Costa Rica,2010,Ratio of girls to boys in primary education,0.98,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
188,Costa Rica,2015,Ratio of girls to boys in primary education,0.99,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
188,Costa Rica,2018,Ratio of girls to boys in primary education,1.01,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
188,Costa Rica,2019,Ratio of girls to boys in primary education,1.01,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
188,Costa Rica,2020,Ratio of girls to boys in primary education,1.02,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
188,Costa Rica,1995,Ratio of girls to boys in secondary education,1.08,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
188,Costa Rica,2005,Ratio of girls to boys in secondary education,1.04,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
188,Costa Rica,2010,Ratio of girls to boys in secondary education,1.04,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
188,Costa Rica,2015,Ratio of girls to boys in secondary education,1.04,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
188,Costa Rica,2018,Ratio of girls to boys in secondary education,1.08,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
188,Costa Rica,2019,Ratio of girls to boys in secondary education,1.08,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
188,Costa Rica,2020,Ratio of girls to boys in secondary education,1.09,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
188,Costa Rica,1995,Ratio of girls to boys in upper secondary education,1.13,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
188,Costa Rica,2005,Ratio of girls to boys in upper secondary education,1.14,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
188,Costa Rica,2010,Ratio of girls to boys in upper secondary education,1.16,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
188,Costa Rica,2015,Ratio of girls to boys in upper secondary education,1.18,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
188,Costa Rica,2018,Ratio of girls to boys in upper secondary education,1.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
188,Costa Rica,2019,Ratio of girls to boys in upper secondary education,1.17,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
188,Costa Rica,2020,Ratio of girls to boys in upper secondary education,1.18,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
384,Côte d’Ivoire,1995,Ratio of girls to boys in primary education,0.73,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
384,Côte d’Ivoire,2015,Ratio of girls to boys in primary education,0.88,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
384,Côte d’Ivoire,2018,Ratio of girls to boys in primary education,0.93,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
384,Côte d’Ivoire,2019,Ratio of girls to boys in primary education,0.94,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
384,Côte d’Ivoire,2020,Ratio of girls to boys in primary education,0.94,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
384,Côte d’Ivoire,2015,Ratio of girls to boys in secondary education,0.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
384,Côte d’Ivoire,2018,Ratio of girls to boys in secondary education,0.77,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
384,Côte d’Ivoire,2019,Ratio of girls to boys in secondary education,0.79,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
384,Côte d’Ivoire,2020,Ratio of girls to boys in secondary education,0.83,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
384,Côte d’Ivoire,2015,Ratio of girls to boys in upper secondary education,0.66,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
384,Côte d’Ivoire,2018,Ratio of girls to boys in upper secondary education,0.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
384,Côte d’Ivoire,2019,Ratio of girls to boys in upper secondary education,0.71,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
384,Côte d’Ivoire,2020,Ratio of girls to boys in upper secondary education,0.75,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
191,Croatia,1995,Ratio of girls to boys in primary education,1.0,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
191,Croatia,2005,Ratio of girls to boys in primary education,1.0,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
191,Croatia,2010,Ratio of girls to boys in primary education,1.0,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
191,Croatia,2015,Ratio of girls to boys in primary education,1.0,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
191,Croatia,2018,Ratio of girls to boys in primary education,1.0,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
191,Croatia,2019,Ratio of girls to boys in primary education,1.01,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
191,Croatia,1995,Ratio of girls to boys in secondary education,1.04,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
191,Croatia,2005,Ratio of girls to boys in secondary education,1.03,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
191,Croatia,2010,Ratio of girls to boys in secondary education,1.07,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
191,Croatia,2015,Ratio of girls to boys in secondary education,1.05,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
191,Croatia,2018,Ratio of girls to boys in secondary education,1.05,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
191,Croatia,2019,Ratio of girls to boys in secondary education,1.05,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
191,Croatia,2005,Ratio of girls to boys in upper secondary education,1.05,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
191,Croatia,2010,Ratio of girls to boys in upper secondary education,1.12,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
191,Croatia,2015,Ratio of girls to boys in upper secondary education,1.05,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
191,Croatia,2018,Ratio of girls to boys in upper secondary education,1.05,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
191,Croatia,2019,Ratio of girls to boys in upper secondary education,1.05,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
192,Cuba,1995,Ratio of girls to boys in primary education,0.99,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
192,Cuba,2005,Ratio of girls to boys in primary education,0.97,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
192,Cuba,2010,Ratio of girls to boys in primary education,0.98,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
192,Cuba,2015,Ratio of girls to boys in primary education,0.94,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
192,Cuba,2018,Ratio of girls to boys in primary education,0.96,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
192,Cuba,2019,Ratio of girls to boys in primary education,0.97,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
192,Cuba,2020,Ratio of girls to boys in primary education,0.97,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
192,Cuba,1995,Ratio of girls to boys in secondary education,1.12,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
192,Cuba,2005,Ratio of girls to boys in secondary education,1.02,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
192,Cuba,2010,Ratio of girls to boys in secondary education,1.0,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
192,Cuba,2015,Ratio of girls to boys in secondary education,1.02,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
192,Cuba,2018,Ratio of girls to boys in secondary education,1.02,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
192,Cuba,2019,Ratio of girls to boys in secondary education,1.01,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
192,Cuba,2020,Ratio of girls to boys in secondary education,1.01,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
192,Cuba,2005,Ratio of girls to boys in upper secondary education,1.06,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
192,Cuba,2010,Ratio of girls to boys in upper secondary education,1.03,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
192,Cuba,2015,Ratio of girls to boys in upper secondary education,1.11,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
192,Cuba,2018,Ratio of girls to boys in upper secondary education,1.09,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
192,Cuba,2019,Ratio of girls to boys in upper secondary education,1.08,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
192,Cuba,2020,Ratio of girls to boys in upper secondary education,1.07,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
531,Curaçao,2020,Ratio of girls to boys in primary education,0.95,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
531,Curaçao,2020,Ratio of girls to boys in secondary education,1.22,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
531,Curaçao,2020,Ratio of girls to boys in upper secondary education,1.55,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
196,Cyprus,1995,Ratio of girls to boys in primary education,1.0,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
196,Cyprus,2005,Ratio of girls to boys in primary education,1.0,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
196,Cyprus,2010,Ratio of girls to boys in primary education,1.0,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
196,Cyprus,2015,Ratio of girls to boys in primary education,1.0,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
196,Cyprus,2018,Ratio of girls to boys in primary education,0.99,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
196,Cyprus,2019,Ratio of girls to boys in primary education,0.99,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
196,Cyprus,1995,Ratio of girls to boys in secondary education,1.01,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
196,Cyprus,2005,Ratio of girls to boys in secondary education,1.02,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
196,Cyprus,2010,Ratio of girls to boys in secondary education,1.01,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
196,Cyprus,2015,Ratio of girls to boys in secondary education,0.99,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
196,Cyprus,2018,Ratio of girls to boys in secondary education,0.98,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
196,Cyprus,2019,Ratio of girls to boys in secondary education,0.97,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
196,Cyprus,2005,Ratio of girls to boys in upper secondary education,1.03,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
196,Cyprus,2010,Ratio of girls to boys in upper secondary education,1.02,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
196,Cyprus,2015,Ratio of girls to boys in upper secondary education,0.99,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
196,Cyprus,2018,Ratio of girls to boys in upper secondary education,0.96,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
196,Cyprus,2019,Ratio of girls to boys in upper secondary education,0.96,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
203,Czechia,1995,Ratio of girls to boys in primary education,1.0,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
203,Czechia,2005,Ratio of girls to boys in primary education,0.99,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
