Country or Area ID, Country or Area, Year, Series Description, Date of Last Election, Footnote for Last Election Date, Percentage of Seats Held by Women, Additional Footnotes, Data Source
12,Algeria,2015,"Seats held by women in national parliament, as of February (%)",2021-06,,31.6,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
12,Algeria,2018,"Seats held by women in national parliament, as of February (%)",2021-06,,25.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
12,Algeria,2019,"Seats held by women in national parliament, as of February (%)",2021-06,,25.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
12,Algeria,2020,"Seats held by women in national parliament, as of February (%)",2021-06,,25.8,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
12,Algeria,2021,"Seats held by women in national parliament, as of February (%)",2021-06,,26.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
12,Algeria,2022,"Seats held by women in national parliament, as of February (%)",2021-06,,8.1,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
20,Andorra,2000,"Seats held by women in national parliament, as of February (%)",2019-04,,7.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
20,Andorra,2005,"Seats held by women in national parliament, as of February (%)",2019-04,,14.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
20,Andorra,2010,"Seats held by women in national parliament, as of February (%)",2019-04,,35.7,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
20,Andorra,2015,"Seats held by women in national parliament, as of February (%)",2019-04,,50.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
20,Andorra,2018,"Seats held by women in national parliament, as of February (%)",2019-04,,32.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
20,Andorra,2019,"Seats held by women in national parliament, as of February (%)",2019-04,,32.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
20,Andorra,2020,"Seats held by women in national parliament, as of February (%)",2019-04,,46.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
20,Andorra,2021,"Seats held by women in national parliament, as of February (%)",2019-04,,46.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
20,Andorra,2022,"Seats held by women in national parliament, as of February (%)",2019-04,,46.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
24,Angola,2000,"Seats held by women in national parliament, as of February (%)",2017-08,,15.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
24,Angola,2005,"Seats held by women in national parliament, as of February (%)",2017-08,,15.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
24,Angola,2010,"Seats held by women in national parliament, as of February (%)",2017-08,,38.6,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
24,Angola,2015,"Seats held by women in national parliament, as of February (%)",2017-08,,36.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
24,Angola,2018,"Seats held by women in national parliament, as of February (%)",2017-08,,30.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
24,Angola,2019,"Seats held by women in national parliament, as of February (%)",2017-08,,30.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
24,Angola,2020,"Seats held by women in national parliament, as of February (%)",2017-08,,30.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
24,Angola,2021,"Seats held by women in national parliament, as of February (%)",2017-08,,29.6,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
24,Angola,2022,"Seats held by women in national parliament, as of February (%)",2017-08,,29.6,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
28,Antigua and Barbuda,2000,"Seats held by women in national parliament, as of February (%)",2018-03,,5.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
28,Antigua and Barbuda,2005,"Seats held by women in national parliament, as of February (%)",2018-03,,10.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
28,Antigua and Barbuda,2010,"Seats held by women in national parliament, as of February (%)",2018-03,,10.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
28,Antigua and Barbuda,2015,"Seats held by women in national parliament, as of February (%)",2018-03,,11.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
28,Antigua and Barbuda,2018,"Seats held by women in national parliament, as of February (%)",2018-03,,11.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
28,Antigua and Barbuda,2019,"Seats held by women in national parliament, as of February (%)",2018-03,,11.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
28,Antigua and Barbuda,2020,"Seats held by women in national parliament, as of February (%)",2018-03,,11.1,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
28,Antigua and Barbuda,2021,"Seats held by women in national parliament, as of February (%)",2018-03,,11.1,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
28,Antigua and Barbuda,2022,"Seats held by women in national parliament, as of February (%)",2018-03,,11.1,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
32,Argentina,2000,"Seats held by women in national parliament, as of February (%)",2021-11,,28.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
32,Argentina,2005,"Seats held by women in national parliament, as of February (%)",2021-11,,33.7,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
32,Argentina,2010,"Seats held by women in national parliament, as of February (%)",2021-11,,38.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
32,Argentina,2015,"Seats held by women in national parliament, as of February (%)",2021-11,,36.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
32,Argentina,2018,"Seats held by women in national parliament, as of February (%)",2021-11,,38.9,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
32,Argentina,2019,"Seats held by women in national parliament, as of February (%)",2021-11,,38.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
32,Argentina,2020,"Seats held by women in national parliament, as of February (%)",2021-11,,40.9,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
32,Argentina,2021,"Seats held by women in national parliament, as of February (%)",2021-11,,42.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
32,Argentina,2022,"Seats held by women in national parliament, as of February (%)",2021-11,,44.8,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
51,Armenia,2000,"Seats held by women in national parliament, as of February (%)",2021-06,,3.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
51,Armenia,2005,"Seats held by women in national parliament, as of February (%)",2021-06,,5.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
51,Armenia,2010,"Seats held by women in national parliament, as of February (%)",2021-06,,9.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
51,Armenia,2015,"Seats held by women in national parliament, as of February (%)",2021-06,,10.7,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
51,Armenia,2018,"Seats held by women in national parliament, as of February (%)",2021-06,,18.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
51,Armenia,2019,"Seats held by women in national parliament, as of February (%)",2021-06,,24.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
51,Armenia,2020,"Seats held by women in national parliament, as of February (%)",2021-06,,23.5,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
51,Armenia,2021,"Seats held by women in national parliament, as of February (%)",2021-06,,22.7,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
51,Armenia,2022,"Seats held by women in national parliament, as of February (%)",2021-06,,34.6,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
36,Australia,2000,"Seats held by women in national parliament, as of February (%)",2019-05,,22.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
36,Australia,2005,"Seats held by women in national parliament, as of February (%)",2019-05,,24.7,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
36,Australia,2010,"Seats held by women in national parliament, as of February (%)",2019-05,,27.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
36,Australia,2015,"Seats held by women in national parliament, as of February (%)",2019-05,,26.7,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
36,Australia,2018,"Seats held by women in national parliament, as of February (%)",2019-05,,28.7,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
36,Australia,2019,"Seats held by women in national parliament, as of February (%)",2019-05,,30.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
36,Australia,2020,"Seats held by women in national parliament, as of February (%)",2019-05,,30.5,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
36,Australia,2021,"Seats held by women in national parliament, as of February (%)",2019-05,,31.1,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
36,Australia,2022,"Seats held by women in national parliament, as of February (%)",2019-05,,31.1,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
40,Austria,2000,"Seats held by women in national parliament, as of February (%)",2019-09,,26.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
40,Austria,2005,"Seats held by women in national parliament, as of February (%)",2019-09,,33.9,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
40,Austria,2010,"Seats held by women in national parliament, as of February (%)",2019-09,,27.9,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
40,Austria,2015,"Seats held by women in national parliament, as of February (%)",2019-09,,30.6,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
40,Austria,2018,"Seats held by women in national parliament, as of February (%)",2019-09,,34.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
40,Austria,2019,"Seats held by women in national parliament, as of February (%)",2019-09,,37.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
40,Austria,2020,"Seats held by women in national parliament, as of February (%)",2019-09,,39.3,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
40,Austria,2021,"Seats held by women in national parliament, as of February (%)",2019-09,,39.9,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
40,Austria,2022,"Seats held by women in national parliament, as of February (%)",2019-09,,41.5,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
31,Azerbaijan,2000,"Seats held by women in national parliament, as of February (%)",2020-02,,10.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
31,Azerbaijan,2005,"Seats held by women in national parliament, as of February (%)",2020-02,,10.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
31,Azerbaijan,2010,"Seats held by women in national parliament, as of February (%)",2020-02,,11.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
31,Azerbaijan,2015,"Seats held by women in national parliament, as of February (%)",2020-02,,15.6,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
31,Azerbaijan,2018,"Seats held by women in national parliament, as of February (%)",2020-02,,16.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
31,Azerbaijan,2019,"Seats held by women in national parliament, as of February (%)",2020-02,,16.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
31,Azerbaijan,2020,"Seats held by women in national parliament, as of February (%)",2020-02,,16.8,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
31,Azerbaijan,2021,"Seats held by women in national parliament, as of February (%)",2020-02,,18.2,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
31,Azerbaijan,2022,"Seats held by women in national parliament, as of February (%)",2020-02,,18.3,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
44,Bahamas,2000,"Seats held by women in national parliament, as of February (%)",2021-09,,15.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
44,Bahamas,2005,"Seats held by women in national parliament, as of February (%)",2021-09,,20.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
44,Bahamas,2010,"Seats held by women in national parliament, as of February (%)",2021-09,,12.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
44,Bahamas,2015,"Seats held by women in national parliament, as of February (%)",2021-09,,13.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
44,Bahamas,2018,"Seats held by women in national parliament, as of February (%)",2021-09,,12.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
44,Bahamas,2019,"Seats held by women in national parliament, as of February (%)",2021-09,,12.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
44,Bahamas,2020,"Seats held by women in national parliament, as of February (%)",2021-09,,12.8,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
44,Bahamas,2021,"Seats held by women in national parliament, as of February (%)",2021-09,,12.8,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
44,Bahamas,2022,"Seats held by women in national parliament, as of February (%)",2021-09,,18.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
48,Bahrain,2005,"Seats held by women in national parliament, as of February (%)",2018-11,,0.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
48,Bahrain,2010,"Seats held by women in national parliament, as of February (%)",2018-11,,2.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
48,Bahrain,2015,"Seats held by women in national parliament, as of February (%)",2018-11,,7.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
48,Bahrain,2018,"Seats held by women in national parliament, as of February (%)",2018-11,,7.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
48,Bahrain,2019,"Seats held by women in national parliament, as of February (%)",2018-11,,15.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
48,Bahrain,2020,"Seats held by women in national parliament, as of February (%)",2018-11,,15.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
48,Bahrain,2021,"Seats held by women in national parliament, as of February (%)",2018-11,,15.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
48,Bahrain,2022,"Seats held by women in national parliament, as of February (%)",2018-11,,15.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
50,Bangladesh,2000,"Seats held by women in national parliament, as of February (%)",2018-12,,9.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
50,Bangladesh,2005,"Seats held by women in national parliament, as of February (%)",2018-12,,2.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
50,Bangladesh,2010,"Seats held by women in national parliament, as of February (%)",2018-12,,18.6,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
50,Bangladesh,2015,"Seats held by women in national parliament, as of February (%)",2018-12,,20.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
50,Bangladesh,2018,"Seats held by women in national parliament, as of February (%)",2018-12,,20.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
50,Bangladesh,2019,"Seats held by women in national parliament, as of February (%)",2018-12,,20.7,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
50,Bangladesh,2020,"Seats held by women in national parliament, as of February (%)",2018-12,,20.9,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
50,Bangladesh,2021,"Seats held by women in national parliament, as of February (%)",2018-12,,20.9,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
50,Bangladesh,2022,"Seats held by women in national parliament, as of February (%)",2018-12,,20.9,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
52,Barbados,2000,"Seats held by women in national parliament, as of February (%)",2018-05,,10.7,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
52,Barbados,2005,"Seats held by women in national parliament, as of February (%)",2018-05,,13.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
52,Barbados,2010,"Seats held by women in national parliament, as of February (%)",2018-05,,10.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
52,Barbados,2015,"Seats held by women in national parliament, as of February (%)",2018-05,,16.7,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
52,Barbados,2018,"Seats held by women in national parliament, as of February (%)",2018-05,,16.7,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
52,Barbados,2019,"Seats held by women in national parliament, as of February (%)",2018-05,,20.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
52,Barbados,2020,"Seats held by women in national parliament, as of February (%)",2018-05,,20.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
52,Barbados,2021,"Seats held by women in national parliament, as of February (%)",2018-05,,20.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
52,Barbados,2022,"Seats held by women in national parliament, as of February (%)",2018-05,,20.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
112,Belarus,2000,"Seats held by women in national parliament, as of February (%)",2019-11,,9.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
112,Belarus,2005,"Seats held by women in national parliament, as of February (%)",2019-11,,29.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
112,Belarus,2010,"Seats held by women in national parliament, as of February (%)",2019-11,,31.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
112,Belarus,2015,"Seats held by women in national parliament, as of February (%)",2019-11,,27.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
112,Belarus,2018,"Seats held by women in national parliament, as of February (%)",2019-11,,34.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
112,Belarus,2019,"Seats held by women in national parliament, as of February (%)",2019-11,,34.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
112,Belarus,2020,"Seats held by women in national parliament, as of February (%)",2019-11,,40.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
112,Belarus,2021,"Seats held by women in national parliament, as of February (%)",2019-11,,40.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
112,Belarus,2022,"Seats held by women in national parliament, as of February (%)",2019-11,,40.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
56,Belgium,2000,"Seats held by women in national parliament, as of February (%)",2019-05,,23.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
56,Belgium,2005,"Seats held by women in national parliament, as of February (%)",2019-05,,34.7,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
56,Belgium,2010,"Seats held by women in national parliament, as of February (%)",2019-05,,38.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
56,Belgium,2015,"Seats held by women in national parliament, as of February (%)",2019-05,,39.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
56,Belgium,2018,"Seats held by women in national parliament, as of February (%)",2019-05,,38.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
56,Belgium,2019,"Seats held by women in national parliament, as of February (%)",2019-05,,38.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
56,Belgium,2020,"Seats held by women in national parliament, as of February (%)",2019-05,,40.7,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
56,Belgium,2021,"Seats held by women in national parliament, as of February (%)",2019-05,,42.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
56,Belgium,2022,"Seats held by women in national parliament, as of February (%)",2019-05,,42.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
84,Belize,2000,"Seats held by women in national parliament, as of February (%)",2020-11,,6.9,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
84,Belize,2005,"Seats held by women in national parliament, as of February (%)",2020-11,,6.7,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
84,Belize,2010,"Seats held by women in national parliament, as of February (%)",2020-11,,0.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
84,Belize,2015,"Seats held by women in national parliament, as of February (%)",2020-11,,3.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
84,Belize,2018,"Seats held by women in national parliament, as of February (%)",2020-11,,9.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
84,Belize,2019,"Seats held by women in national parliament, as of February (%)",2020-11,,9.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
84,Belize,2020,"Seats held by women in national parliament, as of February (%)",2020-11,,9.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
84,Belize,2021,"Seats held by women in national parliament, as of February (%)",2020-11,,12.5,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
84,Belize,2022,"Seats held by women in national parliament, as of February (%)",2020-11,,12.5,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
204,Benin,2000,"Seats held by women in national parliament, as of February (%)",2019-04,,6.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
204,Benin,2005,"Seats held by women in national parliament, as of February (%)",2019-04,,7.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
204,Benin,2010,"Seats held by women in national parliament, as of February (%)",2019-04,,10.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
204,Benin,2015,"Seats held by women in national parliament, as of February (%)",2019-04,,8.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
204,Benin,2018,"Seats held by women in national parliament, as of February (%)",2019-04,,7.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
204,Benin,2019,"Seats held by women in national parliament, as of February (%)",2019-04,,7.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
204,Benin,2020,"Seats held by women in national parliament, as of February (%)",2019-04,,7.2,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
